cep qtde
195 11
378 11
463 11
465 11
466 11
469 11
567 11
594 11
692 11
752 11
753 11
886 11
178 10
239 10
276 10
373 10
462 10
474 10
479 10
488 10
497 10
498 10
566 10
577 10
597 10
618 10
696 10
698 10
739 10
145 9
163 9
173 9
177 9
288 9
559 9
578 9
729 9
972 9
146 8
171 8
246 8
282 8
472 8
491 8
492 8
496 8
571 8
617 8
121 7
142 7
188 7
197 7
248 7
471 7
477 7
493 7
767 7
943 7
168 6
193 6
194 6
196 6
939 6
947 6
112 5
118 5
128 5
165 5
269 5
349 5
839 5
77  4
89  4
143 4
167 4
245 4
277 4
324 4
336 4
482 4
938 4
69  3
161 3
249 3
266 3
439 3
494 3
695 3
328 2
329 2
334 2
539 2
701 2
772 2
928 2
929 2
74  1
75  1
76  1
267 1
332 1
333 1
335 1
340 1
343 1
344 1
348 1
425 1
426 1
427 1
437 1
537 1
548 1
560 1
672 1
713 1
731 1
925 1
936 1
937 1
